,Job Name,Job Company,Job City,Job Country,Job Type,Job Level,Job Level Years,Job Skills,Job Date
0,AI & Data Science Python Developer Intern,Sequel Solutions,Cairo,Egypt,Internship,Student,0 - 1 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Algorithms, Information Technology (IT), Python, Software, Software Development, Software Engineering, Programming",3 days ago
1,Senior Accountant,Data Science,Hadayek October,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance, Administration, Banking, Accounting, Accounting Software, Data Entry, excel, Finance, Financial Management, Microsoft Excel",11 days ago
2,Telesales Representative & Data Collector,Diamond,Haram,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"R&D/Science, Sales/Retail, Sales Field, Telesales, Data collector, Food Science",6 hours ago
3,Data Management Supervisor,Nahdet Misr Publishing Group,Mohandessin,Egypt,Full Time,Experienced,6 - 8 Yrs of Exp,"Operations/Management, Sales/Retail, Computer Science, Data Management, Computer Engineering, Data, Management, Information Technology (IT)",4 hours ago
4,Data Analyst,Confidential,Mohandessin,Egypt,Full Time,Entry Level,1 - 2 Yrs of Exp,"Analyst/Research, Engineering - Telecom/Technology, Analysis, analytical, Communication skills, Computer Science, Data, Data Analysis, Engineering, ETL",4 days ago
5,Data Analyst,Asfour for Mining and Refractories,Tebin,Egypt,Full Time,Experienced,1 - 3 Yrs of Exp,"Operations/Management, Manufacturing/Production, Analyst/Research, Analysis, business, analytical, Data Analysis, Computer Science, Data, excel",10 days ago
6,Senior Data Warehousing & Business Intelligence Engineer,"The Micro, Small & Medium Enterprise Development Agency",Dokki,Egypt,Full Time,Experienced,5 - 10 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Analysis, BI, Business Intelligence, Computer Science, Data Analysis, Data Warehousing, Engineering, Information Technology (IT)",11 days ago
7,Data Science Instructor,EpsilonAI,Nasr City,Egypt,Full Time,Experienced,1+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Training/Instructor, Data Science, Computer Science, Computer Engineering, Python, Machine Learning, Deep Learning, Artificial Intelligence (AI)",1 month ago
8,Data Engineer,BBI,Nasr City,Egypt,Full Time,Experienced,3 - 7 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Engineering, Computer Science, Data Mining, Database, Engineering, Ibm, Information Technology (IT)",17 days ago
9,Data Analyst,Akhnaton for Trading & Distributing,Cairo,Egypt,Full Time,Entry Level,2 - 3 Yrs of Exp,"Analyst/Research, Analyst, Data Analysis, excel, Data Science, Analysis",18 days ago
10,Data Management Consultant,Transformation Experts,Nasr City,Egypt,Full Time,Experienced,1 - 5 Yrs of Exp,"IT/Software Development, Computer Science, Consulting, Data, Data Management, Information Technology (IT), Project Management",24 days ago
11,Recruitment Specialist,Data Science,Hadayek October,Egypt,Full Time,Entry Level,1 - 3 Yrs of Exp,"Human Resources, IT/Software Development, Training/Instructor, Human Resources (HR), Human Resources, Management, Business Administration, Communication skills, Recruitment, Sourcing",2 months ago
12,Data Analyst,Sequel Solutions,Cairo,Egypt,Full Time,Entry Level,1 - 2 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Analysis, analytical, Data, Data Analysis, Data Analyst, Information Technology (IT), Python",26 days ago
13,Data Secuity Administrator,Confidential,Cairo,Egypt,Full Time,Experienced,5 - 7 Yrs of Exp,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Systems, Data Security, Data Archiving, security solutions, Engineering, Veeam, Symantec Backup Exec",1 month ago
14,Senior Data Analyst,Partners Outsourcing Solutions,San Stefano,Egypt,Full Time,Experienced,1 - 2 Yrs of Exp,"males_preferred, IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Analysis, analytical, Analyst, Data, Computer Science, Data Analyst, Data Analysis",1 month ago
15,Data Scientist,Lumin,Sheikh Zayed,Egypt,Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Science, Analysis, Mathematics, Data Analysis, Hadoop, Data Science, Information Technology (IT)",1 month ago
16,Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI,Nasr City,Egypt,Full Time,Experienced,1+ Yrs of Exp,"IT/Software Development, Analyst/Research, Training/Instructor, Analysis, business, Business Intelligence, Data Analysis, Computer Science, Power BI, SQL",1 month ago
17,Senior Java Developer,egabi solutions,Sheraton,Egypt,Full Time,Experienced,2 - 10 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Development, Information Technology (IT), Java, Banks, Design Patters, Web Development, SQL",37 minutes ago
18,Junior Technical Project Manager,BBI,Nasr City,Egypt,Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development, Project/Program Management, Agile, Computer Science, English, Project Management, Scrum Master, Project Manager, Scrum, agile project management",2 days ago
19,"Email&Chat (Etisalat UAE), English Account Advisor, Maadi",Etisalat Egypt,Maadi,Egypt,Full Time,Entry Level,0 - 15 Yrs of Exp,"Customer Service/Support, Operations/Management, Computer Skills, chat, Customer Care, Customer Service, Customer Support, Mail, English, Medical",1 day ago
20,"Email & Chat Account (Etisalat UAE), English Call Center",Etisalat Egypt,Maadi,Egypt,Full Time,Entry Level,0 - 15 Yrs of Exp,"Business Development, Customer Service/Support, Sales/Retail, Computer Skills, chat, Customer Care, Customer Service, Customer Support, Mail, English",4 days ago
21,"Educational Center Academic Researcher (medicine, Pharmaceutical, nursing)",الناجح للخدمات والاستشارات التعليمية والطلابية,Mokattam,Egypt,Full Time,Manager,2+ Yrs of Exp,"Writing/Editorial, Medical/Healthcare, Pharmaceutical, Academic, Research, Education, Clinical Research, Pharmaceutical, Pharmaceutical Sciences, Pharmaceutical Science",9 days ago
22,SAP PP Consultant,Arma,New Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, computer, Computer Science, Data Migration, Implementation, Information technology, Information Technology (IT), S/4hana, SAP, Production",10 days ago
23,Power BI Developer,BI,New Cairo,Egypt,Full Time,Entry Level,1 - 5 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Science, Power BI, SSRS, BI, SQL, Microsoft Power BI, Engineering",10 days ago
24,Devops Engineer Expert,BBI,Nasr City,Egypt,Full Time,Experienced,6+ Yrs of Exp,"IT/Software Development, cloudera, Big Data, Computer Engineering, DevOps, Kafka, Data, Hadoop, Computer Science",16 days ago
25,Administrative Assistant,AGCO,New Cairo,Egypt,Full Time,Entry Level,0 - 3 Yrs of Exp,"Administration, Customer Service/Support, Marketing/PR/Advertising, Administration, administrative, Admin, Communication, Customer Service, Customer Support, Customer Care",16 days ago
26,Business Analyst,Transformation Experts,Cairo,Egypt,Full Time,Experienced,1 - 6 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Information Technology (IT), systems analysis, SQL, Technical Writing, Analysis, Computer Science",24 days ago
27,Senior Data Scientist - Hybrid,Seoudi Supermarket,Sheikh Zayed,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Data Science, Analysis, Computer Science, Machine Learning, Python, SQL",2 months ago
28,Head of Science Department,Creatives International Schools ( CIS ),Sharqia,Egypt,Full Time,Senior Management,9+ Yrs of Exp,"Operations/Management, Education/Teaching, Operations Management, Teaching, Education, Head of Department",3 days ago
